ElemenJalan;KualitasJalan;ElemenDuduk;KualitasDuduk;ElemenAlami;KualitasAlami;FasilitasAminities;Estetika;AktivitasRelaksasi;AktivitasFisik;AktivitasTravel;InteraksiAlam;InteraksiSosial;PartisiGrup
sangat baik;baik;sangat baik;baik;sangat baik;baik;baik;2;1;1;1;2;1;2
sangat baik;sangat baik;sangat baik;baik;baik;sangat baik;baik;3;2;2;1;2;2;1
baik;sangat baik;baik;sangat baik;sangat baik;sangat baik;baik;3;4;5;5;6;7;6
sangat baik;baik;sangat baik;sangat baik;baik;baik;baik;3;3;4;5;6;7;3
sangat baik;sangat baik;sangat baik;baik;sangat baik;sangat baik;baik;2;2;7;7;6;2;2
sangat baik;baik;sangat baik;baik;baik;sangat baik;sangat baik;2;2;1;4;5;7;7
sangat baik;baik;baik;sangat baik;baik;baik;baik;2;7;5;2;2;2;2
sangat baik;baik;sangat baik;sangat baik;baik;baik;baik;2;6;7;2;3;3;3
sangat baik;baik;baik;baik;sangat baik;baik;baik;3;6;7;1;4;4;4
sangat baik;sangat baik;baik;baik;baik;baik;baik;2;5;6;3;3;5;4
buruk;baik;buruk;baik;buruk;buruk;baik;1;4;5;5;2;3;3
sangat baik;sangat baik;baik;baik;baik;baik;baik;2;4;5;4;7;2;3
sangat baik;sangat baik;sangat baik;baik;baik;baik;baik;2;2;4;3;3;1;1
baik;baik;baik;sangat baik;baik;sangat baik;sangat baik;2;6;6;4;2;1;4
sangat baik;sangat baik;sangat baik;sangat baik;baik;sangat baik;sangat baik;2;3;6;3;2;2;3
baik;sangat baik;sangat baik;sangat baik;baik;baik;sangat baik;2;2;5;2;1;4;5
sangat baik;sangat baik;baik;sangat baik;sangat baik;baik;baik;3;1;5;1;3;6;4
sangat baik;sangat baik;baik;baik;baik;baik;baik;2;2;4;1;7;7;3
sangat baik;baik;baik;baik;baik;baik;sangat baik;3;5;4;2;6;7;2
sangat baik;baik;baik;baik;sangat baik;sangat baik;sangat baik;2;3;3;4;2;6;3
baik;sangat baik;sangat baik;baik;baik;sangat baik;baik;2;7;3;3;1;5;3
sangat baik;baik;baik;baik;baik;baik;baik;2;6;3;2;3;6;4
buruk;baik;buruk;baik;buruk;buruk;baik;1;5;4;2;4;6;4
buruk;buruk;baik;buruk;buruk;baik;buruk;2;5;6;1;4;7;4
baik;baik;baik;baik;buruk;baik;buruk;2;7;5;4;4;6;5
buruk;baik;buruk;baik;buruk;buruk;baik;1;6;4;3;3;6;4
baik;sangat baik;baik;baik;baik;baik;sangat baik;2;7;5;2;2;4;3
baik;baik;baik;baik;baik;baik;baik;2;7;6;2;2;5;4
sangat baik;baik;baik;baik;sangat baik;baik;baik;3;2;6;1;2;5;3
baik;sangat baik;baik;baik;baik;sangat baik;sangat baik;3;2;6;1;1;5;3
sangat baik;sangat baik;sangat baik;sangat baik;sangat baik;sangat baik;sangat baik;2;3;4;2;1;5;4